taxa	Length
s__Monoglobus pectinilyticus	2704690.0
g__UMGS1820	2280600.75
s__UMGS1820 sp900545865	2961055.0
s__UMGS1820 sp900555375	1643448.0
g__UMGS1326	2249136.0
s__UMGS1326 sp900550775	2203618.0
g__UMGS1494	2287505.0
s__UMGS1494 sp900552305	2287505.0
f__UMGS1388	1753072.0
g__UMGS1388	1753072.0
s__UMGS1388 sp900551345	1753072.0
o__TANB77	1469145.808333333
f__CAG-508	1486187.849056604
g__CAG-269	1514568.9487179487
s__CAG-269 sp000431335	1465150.0
s__CAG-269 sp900556945	1736770.0
s__CAG-269 sp900556695	1394461.0
s__CAG-269 sp900554365	1306779.0
s__CAG-269 sp900557115	1395523.0
s__CAG-269 sp900554565	1357656.0
s__CAG-269 sp900553985	1703574.0
s__CAG-269 sp001916035	1664197.0
s__CAG-269 sp001916065	1543318.0
s__CAG-269 sp900552555	1764654.0
s__CAG-269 sp900551615	1608604.0
s__CAG-269 sp000438255	1523903.0
s__CAG-269 sp000435535	1766269.0
s__CAG-269 sp001916005	1481282.0
s__CAG-269 sp000437215	1333709.0
s__CAG-269 sp900553125	1578561.0
s__CAG-269 sp900556345	1620885.0
s__CAG-269 sp900556865	1467424.0
s__CAG-269 sp900554175	1513268.0
s__CAG-269 sp003525075	1646276.0
s__CAG-269 sp001916055	1586096.0
s__CAG-269 sp900555615	1780999.0
g__CAG-354	1582474.875
s__CAG-354 sp900553015	1658908.0
s__CAG-354 sp001915925	1702469.0
s__CAG-354 sp900552655	1595406.0
s__CAG-354 sp900555085	1311921.0
g__CAG-492	1695264.8571428568
s__CAG-492 sp000434015	1551796.0
s__CAG-492 sp900557195	1832180.0
s__CAG-492 sp900553225	1424047.0
s__CAG-492 sp900557045	1715002.0
s__CAG-492 sp000434335	1655203.0
g__UMGS1663	1441120.0
s__UMGS1663 sp900553405	1467573.0
s__UMGS1663 sp900553865	1455178.0
g__CAG-273	1315912.8461538462
s__CAG-273 sp000435755	1175227.0
s__CAG-273 sp000437855	1183274.0
s__CAG-273 sp000438355	1434556.0
s__CAG-273 sp003507395	1318863.0
s__CAG-273 sp003534295	1330798.0
g__CAG-245	1532073.5
s__CAG-245 sp000435175	1604284.0
s__CAG-245 sp900552135	1468207.0
s__CAG-245 sp000434195	1419734.0
t__HRGM_Genome_3717	1382273.0
t__HRGM_Genome_3716	1457195.0
g__UMGS1901	1287601.0
s__UMGS1901 sp900553755	1254931.0
s__UMGS1901 sp900556135	1320271.0
g__CAG-793	1341237.0
s__CAG-793 sp000433915	1272541.0
s__CAG-793 sp900557475	1409933.0
g__UBA7001	1877778.5
s__UBA7001 sp900553685	1822100.0
g__UMGS1994	1708260.333333333
s__UMGS1994 sp900553945	1605952.0
s__UMGS1994 sp900556975	1736572.0
g__UMGS1754	1384813.0
s__UMGS1754 sp900554815	1492343.0
g__UMGS1864	1508921.0
s__UMGS1864 sp900555835	1508921.0
g__UMGS1781	1255566.75
s__UMGS1781 sp900553365	1317904.0
s__UMGS1781 sp900554635	1318149.0
s__UMGS1781 sp900553695	1184465.0
s__UMGS1781 sp900555075	1201749.0
g__UMGS1933	1208247.5
s__UMGS1933 sp900556455	874887.0
g__CAG-452	1287258.0
s__CAG-452 sp000434035	1317663.0
f__CAG-465	1335791.125
g__CAG-465	1364175.4285714286
s__CAG-465 sp000433755	1368499.0
s__CAG-465 sp900554875	1323205.0
s__CAG-465 sp000433335	1127366.0
s__CAG-465 sp000433135	1374088.0
g__UMGS1649	1137101.0
s__UMGS1649 sp900553785	1137101.0
o__Saccharofermentanales	1596710.666666667
f__DTU023	1645146.5
g__SFGY01	1645146.5
s__SFGY01 sp004556455	1919412.0
o__UBA1212	2433443.666666666
f__UBA1255	2530614.2
g__UMGS1537	2492014.0
s__UMGS1537 sp900543695	2558639.0
s__UMGS1537 sp900552695	2605037.0
g__UMGS1851	2685015.0
s__UMGS1851 sp900555605	2685015.0
o__Lachnospirales	3090341.8922155686
f__Lachnospiraceae	3145263.9854838713
g__Blautia_A	3293411.237288136
s__Blautia_A obeum_B	3617583.0
s__Blautia_A sp900120195	3528951.0
s__Blautia_A obeum	3851999.0
t__HRGM_Genome_1361	3683553.0
t__HRGM_Genome_1346	4020445.0
s__Blautia_A sp000436615	4216544.0
s__Blautia_A sp900548245	2817086.0
s__Blautia_A sp900551715	2543992.0
s__Blautia_A sp900551465	3060889.0
s__Blautia_A sp900553515	2907985.0
s__Blautia_A sp900541985	2679417.0
s__Blautia_A sp000433815	3329407.0
s__Blautia_A sp900066145	4594075.0
s__Blautia_A sp900066165	3857265.75
t__HRGM_Genome_2812	3326732.0
t__HRGM_Genome_2813	3841806.0
t__HRGM_Genome_2814	4441003.0
t__HRGM_Genome_2815	3819522.0
s__Blautia_A sp900066505	3891993.0
s__Blautia_A sp003480185	3508673.2
t__HRGM_Genome_1353	3363168.0
t__HRGM_Genome_1349	3060396.0
t__HRGM_Genome_1352	3461858.0
s__Blautia_A wexlerae	3459750.5
t__HRGM_Genome_1356	3756426.0
t__HRGM_Genome_1345	3599264.0
t__HRGM_Genome_1340	3175211.0
t__HRGM_Genome_1338	3930699.0
t__HRGM_Genome_1360	2983640.0
t__HRGM_Genome_1351	3198229.0
t__HRGM_Genome_1350	3153372.0
t__HRGM_Genome_1354	3287210.0
t__HRGM_Genome_1343	4058680.0
t__HRGM_Genome_1347	3920324.0
t__HRGM_Genome_1348	3569551.0
t__HRGM_Genome_1357	3622843.0
s__Blautia_A sp003471165	4193207.0
s__Blautia_A sp003477525	4347292.0
s__Blautia_A sp003478765	3628655.0
s__Blautia_A sp000285855	2822628.0
s__Blautia_A sp900066335	3713821.0
s__Blautia_A sp900066205	3675824.0
s__Blautia_A massiliensis	2955962.0
t__HRGM_Genome_3071	3538621.0
t__HRGM_Genome_3070	2373303.0
s__Blautia_A sp003474435	3676052.0
s__Blautia_A sp900551075	4084328.0
s__Blautia_A sp900547615	2528459.0
s__Blautia_A sp900549015	2826303.0
s__Blautia_A sp900540785	3168635.0
s__Blautia_A sp900541345	2712101.0
s__Blautia_A hydrogenotrophica	3456000.0
s__Blautia_A sp900542045	3323798.0
g__Blautia	3471816.521739131
s__Blautia hansenii	3000097.5
t__HRGM_Genome_1752	3065949.0
t__HRGM_Genome_1753	2934246.0
s__Blautia sp900539145	2534213.0
s__Blautia sp900120295	2927834.0
s__Blautia sp900555025	3377041.0
s__Blautia sp900547685	2582611.0
s__Blautia sp003287895	2886615.0
s__Blautia sp900541955	2816015.0
s__Blautia sp000432195	3510321.0
s__Blautia sp900556555	2138636.0
s__Blautia sp002161285	3602220.0
s__Blautia sp900543715	3243391.0
s__Blautia hominis	5878941.0
s__Blautia coccoides	6087376.0
s__Blautia sp001304935	5803850.0
s__Blautia sp000436935	3362050.0
g__Lactonifactor	4729211.5
s__Lactonifactor longoviformis	4813137.0
g__UBA5416	4033193.0
s__UBA5416 sp900539175	4033193.0
g__OF09-33XD	2847577.5
s__OF09-33XD sp003481995	4093808.0
g__Fusicatenibacter	2682758.0
s__Fusicatenibacter saccharivorans	3024256.0
s__Fusicatenibacter sp900543115	2863124.0
g__UMGS1472	2446957.5
s__UMGS1472 sp900552095	2296696.0
g__Ruminococcus_A	2777384.0
s__Ruminococcus_A sp000432335	2911793.0
s__Ruminococcus_A sp003011855	3472493.0
s__Ruminococcus_A sp000437095	2845901.0
g__Ruminococcus_G	4096474.0
s__Ruminococcus_G gauvreauii	4096474.0
g__GCA-900066135	3297416.0
s__GCA-900066135 sp900066135	3728016.0
s__GCA-900066135 sp900543575	3346401.0
g__UMGS1375	3127357.5
s__UMGS1375 sp900066615	3540083.0
s__UMGS1375 sp900551235	2714632.0
g__CAG-56	2734841.333333333
s__CAG-56 sp900539525	2903340.0
g__Marvinbryantia	3488408.2
s__Marvinbryantia formatexigens	4521825.0
s__Marvinbryantia sp900550755	3989920.0
s__Marvinbryantia sp900066075	3436300.0
s__Marvinbryantia sp900544685	2828077.0
g__Robinsoniella	6757171.25
s__Robinsoniella sp900540475	7637037.0
s__Robinsoniella sp900555455	4940098.0
s__Robinsoniella sp900539655	7249439.0
s__Robinsoniella peoriensis	7202111.0
g__Murimonas	5745043.0
s__Murimonas intestini	5745043.0
g__UBA7182	3064427.5
s__UBA7182 sp003480725	3466199.0
s__UBA7182 sp003481535	3072029.5
t__HRGM_Genome_2637	3566953.0
t__HRGM_Genome_2640	2577106.0
g__GCA-900066575	2887954.4
s__GCA-900066575 sp002160765	3019490.0
s__GCA-900066575 sp900066385	3561714.0
s__GCA-900066575 sp900553635	2617965.0
g__Mediterraneibacter	2819259.88
s__Mediterraneibacter torques	3118216.0
s__Mediterraneibacter sp900553885	2584596.0
s__Mediterraneibacter sp900555215	2662706.0
s__Mediterraneibacter sp002314255	2943094.0
s__Mediterraneibacter lactaris	2759945.0
t__HRGM_Genome_1124	2731235.0
t__HRGM_Genome_1125	2788655.0
s__Mediterraneibacter faecis	3062457.666666666
t__HRGM_Genome_3797	3112119.0
t__HRGM_Genome_3795	3066137.0
t__HRGM_Genome_3796	3009117.0
s__Mediterraneibacter massiliensis	3069885.0
s__Mediterraneibacter sp900541505	3567810.0
g__Schaedlerella	3157746.571428572
s__Schaedlerella glycyrrhizinilyticum	3233902.0
s__Schaedlerella sp900066545	3299552.333333333
t__HRGM_Genome_3136	2922422.0
t__HRGM_Genome_3138	3605100.0
t__HRGM_Genome_3139	3371135.0
g__Muricomes	4583458.0
s__Muricomes sp000509105	5056031.0
s__Muricomes contorta_B	5156194.0
s__Muricomes fissicatena	5427315.0
s__Muricomes sp900604355	3533714.0
s__Muricomes orotica	5921605.0
g__Ruminococcus_B	3153725.0
s__Ruminococcus_B gnavus	3328701.0
t__HRGM_Genome_0287	3578665.0
t__HRGM_Genome_0284	3460754.0
t__HRGM_Genome_0289	2946684.0
s__Ruminococcus_B sp900544395	2628797.0
g__Mediterraneibacter_A	2186358.5
s__Mediterraneibacter_A butyricigenes	3102690.0
g__UMGS1251	4765419.0
s__UMGS1251 sp900549995	4765419.0
g__Dorea	2847149.806451613
s__Dorea longicatena	2313422.0
t__HRGM_Genome_2952	3126606.0
t__HRGM_Genome_2951	1500238.0
s__Dorea longicatena_B	3143729.0
s__Dorea sp900550865	2425923.0
s__Dorea formicigenerans	2853374.25
t__HRGM_Genome_2422	3357525.0
t__HRGM_Genome_2425	3122050.0
t__HRGM_Genome_2423	2061879.0
t__HRGM_Genome_2424	2872043.0
s__Dorea sp000433535	2296408.0
s__Dorea sp900543415	2601066.0
s__Dorea sp000433215	2785699.0
s__Dorea sp000509125	3728156.0
s__Dorea scindens	3622605.0
s__Dorea faecis	2835154.0
s__Dorea sp900553355	2681460.0
s__Dorea sp900240315	2347571.0
s__Dorea sp900312975	2368327.0
s__Dorea sp001185345	3904224.0
s__Dorea muris	3900136.0
s__Dorea hylemonae	3802096.0
s__Dorea sp000765215	3267429.0
s__Dorea sp002160985	2890308.0
s__Dorea phocaeensis	2539580.0
s__Dorea sp900543315	2730908.0
s__Dorea sp900066555	2953222.0
s__Dorea sp900066765	3714607.0
g__Sellimonas	3521934.0
s__Sellimonas intestinalis	3206689.0
s__Sellimonas sp002161525	3837179.0
g__UBA9414	2690153.0
s__UBA9414 sp003458885	2690153.0
g__An181	1667408.0
s__An181 sp002160325	1667408.0
g__Faecalimonas	2577694.947368421
s__Faecalimonas sp900555395	1233090.0
s__Faecalimonas sp900550235	2260829.0
s__Faecalimonas sp000209385	2219029.0
s__Faecalimonas sp900551895	1849841.0
s__Faecalimonas umbilicata	2617551.666666666
t__HRGM_Genome_0286	2417466.0
t__HRGM_Genome_0283	2976145.0
t__HRGM_Genome_0290	2459044.0
s__Faecalimonas sp900546325	2911374.0
s__Faecalimonas nexilis	2762959.375
t__HRGM_Genome_2534	2855693.0
t__HRGM_Genome_2536	2618912.0
t__HRGM_Genome_2528	2591831.0
t__HRGM_Genome_2530	2831627.0
t__HRGM_Genome_2532	2773560.0
t__HRGM_Genome_2535	2907874.0
t__HRGM_Genome_2529	3106764.0
t__HRGM_Genome_2531	2417414.0
g__Bariatricus	2885874.166666666
s__Bariatricus sp900554415	2915744.0
s__Bariatricus comes	2949315.0
t__HRGM_Genome_1248	3242215.0
t__HRGM_Genome_1250	2656415.0
s__Bariatricus massiliensis	3969748.0
g__GCA-900066755	4302858.333333333
s__GCA-900066755 sp900066755	5880143.0
g__Agathobacter	3004463.375
s__Agathobacter sp000434275	3864718.0
s__Agathobacter sp900552085	2969366.0
s__Agathobacter sp900550545	2627762.0
s__Agathobacter sp900543445	2652425.0
s__Agathobacter sp900549895	2422277.0
s__Agathobacter faecis	3196005.666666666
t__HRGM_Genome_2277	2860137.0
t__HRGM_Genome_2276	3284407.0
t__HRGM_Genome_2278	3443473.0
s__Agathobacter rectalis	3251592.666666666
t__HRGM_Genome_1853	3449685.0
t__HRGM_Genome_1855	3286376.0
t__HRGM_Genome_1856	3018717.0
s__Agathobacter sp900546625	2535418.0
s__Agathobacter sp900317585	2789374.0
t__HRGM_Genome_1858	2955921.0
t__HRGM_Genome_1857	2622827.0
s__Agathobacter sp900547695	3291648.0
s__Agathobacter sp900548765	2786257.0
g__Roseburia	3102432.878787879
s__Roseburia inulinivorans	3136657.5555555555
t__HRGM_Genome_1592	2902665.0
t__HRGM_Genome_1588	2832199.0
s__Roseburia sp900552665	3362935.0
t__HRGM_Genome_1590	2989013.0
t__HRGM_Genome_1591	2864884.0
t__HRGM_Genome_1594	3013122.0
t__HRGM_Genome_1585	3587316.0
t__HRGM_Genome_1599	2847149.0
t__HRGM_Genome_1595	3605354.0
t__HRGM_Genome_1603	3598518.0
t__HRGM_Genome_1593	3253873.0
t__HRGM_Genome_1589	3652922.0
t__HRGM_Genome_1597	3047956.0
t__HRGM_Genome_1586	3519246.0
t__HRGM_Genome_1604	3609165.0
t__HRGM_Genome_1605	2979952.0
t__HRGM_Genome_1602	3563391.0
t__HRGM_Genome_1587	3266673.0
s__Roseburia sp900542495	3259666.333333333
t__HRGM_Genome_1606	3205451.0
t__HRGM_Genome_1583	3281754.0
t__HRGM_Genome_1600	3291794.0
s__Roseburia hominis	3592125.0
s__Roseburia sp003470905	4145911.0
s__Roseburia intestinalis	4044229.0
s__Roseburia sp003483745	3035642.0
s__Roseburia sp900550935	2762523.0
s__Roseburia sp900548205	2319952.0
g__CAG-45	2650143.5
s__CAG-45 sp000438375	2962513.0
s__CAG-45 sp900066395	2337774.0
g__UBA11774	2134083.0
s__UBA11774 sp003507655	2228546.0
g__Pseudobutyrivibrio	3164379.0
s__Pseudobutyrivibrio fibrisolvens_A	3164379.0
g__AM51-8	2432801.5
s__AM51-8 sp003478275	2509433.0
s__AM51-8 sp900546435	2356170.0
g__Eubacterium_I	2774519.5555555555
s__Eubacterium_I ramulus_A	3656239.0
s__Eubacterium_I sp900546495	2650866.0
s__Eubacterium_I ramulus	3064903.0
t__HRGM_Genome_0379	3447136.0
t__HRGM_Genome_0381	2682670.0
s__Eubacterium_I sp000270305	1893009.0
s__Eubacterium_I sp900066595	3452403.0
s__Eubacterium_I sp900557275	1512681.0
g__COE1	3626520.5
s__COE1 sp001916965	3494954.0
g__Eisenbergiella	4875058.0
s__Eisenbergiella sp003478085	7234838.0
s__Eisenbergiella sp900548905	6842156.0
s__Eisenbergiella tayi	7416064.0
s__Eisenbergiella massiliensis	6692195.0
s__Eisenbergiella sp900544445	3890464.0
s__Eisenbergiella sp900555195	3901051.0
s__Eisenbergiella sp900539715	2782709.0
s__Eisenbergiella sp900550285	2806677.0
s__Eisenbergiella sp900066775	3523548.0
g__SFDP01	2792712.0
s__SFDP01 sp004558185	2865067.0
g__CAG-95	2967041.0
s__CAG-95 sp900554925	2880662.0
s__CAG-95 sp000436115	2822689.0
s__CAG-95 sp000438155	3061360.333333333
t__HRGM_Genome_3110	3070712.0
t__HRGM_Genome_3112	2992180.0
t__HRGM_Genome_3111	3121189.0
s__CAG-95 sp900553305	2408138.0
s__CAG-95 sp900066375	3374459.0
g__Acetatifactor	3069539.416666666
s__Acetatifactor sp003447295	3091301.0
s__Acetatifactor sp900066365	3091822.0
s__Acetatifactor sp900066565	3014251.0
t__HRGM_Genome_3555	2976195.0
t__HRGM_Genome_3558	3052307.0
s__Acetatifactor sp900554205	3177635.0
g__CAG-510	2951512.333333333
s__CAG-510 sp900551115	3321781.0
s__CAG-510 sp900550475	2761020.0
s__CAG-510 sp000434615	2771736.0
g__UBA2882	3065889.333333333
s__UBA2882 sp002362385	3441652.0
s__UBA2882 sp900542015	2937871.0
s__UBA2882 sp900549665	2818145.0
g__CAG-194	2619374.0
s__CAG-194 sp000432915	2619374.0
g__NK4A136	3786163.0
s__NK4A136 sp002314855	3786163.0
g__CAG-791	2847365.0
s__CAG-791 sp900315055	3081888.0
s__CAG-791 sp000431495	2612842.0
g__UBA2856	2266138.0
s__UBA2856 sp900555005	2187686.0
g__Hungatella	6017414.8
s__Hungatella sp000526575	4730558.0
s__Hungatella effluvii	6979496.0
s__Hungatella sp005845265	7470188.0
g__CHH4-2	6089737.0
s__CHH4-2 sp002899675	6089737.0
g__UBA9502	3006971.666666666
s__UBA9502 sp003478505	3106245.0
s__UBA9502 sp003480315	3217602.0
s__UBA9502 sp003481825	3427151.0
s__UBA9502 sp003506385	2620268.0
s__UBA9502 sp900555625	3151333.0
s__UBA9502 sp900538475	3035568.0
s__UBA9502 sp900540335	2970880.0
g__Hungatella_A	3537020.25
s__Hungatella_A sp003478355	3085071.0
t__HRGM_Genome_2890	3144954.0
t__HRGM_Genome_2891	3025188.0
s__Hungatella_A hathewayi_A	5654180.0
g__Lachnoclostridium_A	3479225.75
s__Lachnoclostridium_A sp003464085	4360356.0
s__Lachnoclostridium_A edouardi	3329949.0
s__Lachnoclostridium_A sp002160755	3398965.0
g__Enterocloster	4439511.64
s__Enterocloster clostridioformis_A	4026190.0
s__Enterocloster clostridioformis	4829244.0
s__Enterocloster bolteae	5723933.0
s__Enterocloster sp005845215	5888178.0
s__Enterocloster sp000155435	6548966.0
s__Enterocloster aldenensis	6045490.0
s__Enterocloster citroniae	6476507.0
s__Enterocloster sp900540675	3298790.0
s__Enterocloster sp900541315	3031447.0
s__Enterocloster sp900543885	3564574.0
s__Enterocloster sp000431375	3338759.0
s__Enterocloster sp001517625	3412690.0
s__Enterocloster sp900538485	3321413.0
s__Enterocloster sp900549235	3555335.0
s__Enterocloster asparagiformis	6168028.0
s__Enterocloster lavalensis	6502696.0
s__Enterocloster sp900555905	4682631.0
s__Enterocloster sp900555045	4720348.0
s__Enterocloster sp900551225	5484129.0
s__Enterocloster sp900547035	3723499.0
g__UMGS1370	3025181.666666666
s__UMGS1370 sp900542035	2761406.0
s__UMGS1370 sp900551135	2462371.0
g__Clostridium_Q	3690088.875
s__Clostridium_Q sp900547735	5446084.0
s__Clostridium_Q symbiosum	4916964.0
s__Clostridium_Q sp003024715	3277016.0
s__Clostridium_Q sp000435655	2797978.0
s__Clostridium_Q saccharolyticum_A	3776231.0
t__HRGM_Genome_1841	3804864.0
t__HRGM_Genome_1843	3747598.0
g__UC5-1-2E3	3193765.0
s__UC5-1-2E3 sp001304875	3193765.0
g__CAG-81	2899775.777777778
s__CAG-81 sp900066535	2966695.0
s__CAG-81 sp900066055	3382629.0
s__CAG-81 sp900066785	3104191.0
t__HRGM_Genome_2267	2882320.0
t__HRGM_Genome_2266	3326062.0
s__CAG-81 sp900556965	1764676.0
s__CAG-81 sp000435795	2754746.0
s__CAG-81 sp900541255	3596389.0
g__Oribacterium	2004270.0
s__Oribacterium sp004554245	2303957.0
s__Oribacterium sinus	1901944.0
t__HRGM_Genome_5060	2494431.0
t__HRGM_Genome_5059	1309457.0
g__Lachnoanaerobaculum	2681247.0
s__Lachnoanaerobaculum sp000296385	2661892.0
s__Lachnoanaerobaculum umeaense	2810441.0
s__Lachnoanaerobaculum orale	2571408.0
g__Stomatobaculum	1673327.75
s__Stomatobaculum sp002892395	1364353.0
s__Stomatobaculum naviforme	2066306.0
s__Stomatobaculum longum	1905072.0
g__KLE1615	4040812.5
s__KLE1615 sp900066985	4040812.5
t__HRGM_Genome_2343	4116467.0
t__HRGM_Genome_2342	3965158.0
g__AF33-28	5162566.0
s__AF33-28 sp003477885	5162566.0
g__Lachnospira	2677991.933333333
s__Lachnospira sp003451515	2637867.0
s__Lachnospira eligens_B	2981777.0
s__Lachnospira eligens	2703742.0
s__Lachnospira sp003537285	2716345.0
s__Lachnospira sp000436475	3016685.0
s__Lachnospira sp000436535	3071336.0
s__Lachnospira rogosae	2845721.0
s__Lachnospira sp900316325	2568340.0
s__Lachnospira sp900547255	2352186.0
s__Lachnospira sp900552795	2300661.0
s__Lachnospira sp900545725	2876069.0
s__Lachnospira sp900551945	2710065.0
s__Lachnospira sp000437735	2986625.0
g__UBA4285	1488827.0
s__UBA4285 sp900542465	1510574.0
s__UBA4285 sp900545225	1467080.0
g__Bacteroides_F	2425880.0
s__Bacteroides_F pectinophilus	2425880.0
g__CAG-882	3087503.0
s__CAG-882 sp000435595	3090898.0
s__CAG-882 sp900545455	2861336.0
s__CAG-882 sp003486385	3323522.0
s__CAG-882 sp900545175	3074256.0
g__Butyrivibrio_A	2123481.75
s__Butyrivibrio_A crossotus	2260777.0
s__Butyrivibrio_A sp000431815	2428908.0
g__Eubacterium_G	2567479.8181818184
s__Eubacterium_G sp000435815	2372867.0
s__Eubacterium_G sp900550135	2556758.0
s__Eubacterium_G sp900548465	2465387.0
s__Eubacterium_G ventriosum	2561401.666666666
t__HRGM_Genome_2652	2343420.0
t__HRGM_Genome_2648	2761423.0
t__HRGM_Genome_2653	2579362.0
s__Eubacterium_G sp000432355	2659522.0
s__Eubacterium_G sp000434315	2725029.5
t__HRGM_Genome_2926	2909815.0
t__HRGM_Genome_2925	2540244.0
g__CAG-603	3027291.0
s__CAG-603 sp900066105	3027291.0
g__CAG-303	2102413.0
s__CAG-303 sp000437755	2616917.0
s__CAG-303 sp900539455	2269831.0
g__Anaerocolumna	4582914.0
s__Anaerocolumna aminovalerica	4582914.0
g__Lachnoclostridium	4883440.333333333
s__Lachnoclostridium phytofermentans_A	5194070.0
s__Lachnoclostridium sp900078195	4599950.0
g__Anaerosporobacter	4744059.0
s__Anaerosporobacter mobilis	5077023.0
g__CAG-411	3627630.0
s__CAG-411 sp000437275	3627630.0
g__Acetivibrio_A	3660245.0
s__Acetivibrio_A ethanolgignens	3660245.0
g__Eubacterium_F	2325076.166666666
s__Eubacterium_F sp000433735	2356822.0
s__Eubacterium_F sp003491505	2416606.5
t__HRGM_Genome_2769	2124575.0
t__HRGM_Genome_2768	2708638.0
s__Eubacterium_F sp900539115	2807569.0
s__Eubacterium_F sp000434115	2510144.0
g__V9D3004	2014859.75
s__V9D3004 sp002349525	2035634.0
g__TF01-11	2901125.5555555555
s__TF01-11 sp000436755	2889995.0
s__TF01-11 sp001414325	3613665.0
s__TF01-11 sp003149875	2762866.0
s__TF01-11 sp003529475	2738990.0
s__TF01-11 sp003524945	2952780.0
s__TF01-11 sp001916135	3090361.0
g__CAG-127	3051774.166666666
s__CAG-127 sp900319515	2845821.0
s__CAG-127 sp900539705	2741496.0
s__CAG-127 sp900553925	2730672.0
g__Coprococcus	2846713.1111111115
s__Coprococcus sp900548315	2306754.0
s__Coprococcus sp900557435	3039243.0
s__Coprococcus eutactus	3285306.0
s__Coprococcus eutactus_A	3050452.0
s__Coprococcus sp900548215	2913085.0
s__Coprococcus sp000154245	2954116.0
s__Coprococcus sp900066115	2889150.0
s__Coprococcus sp000433075	2644330.0
g__CAG-590	2989507.0
s__CAG-590 sp900552885	2863940.0
s__CAG-590 sp000431135	2764780.0
s__CAG-590 sp900544905	3094552.0
s__CAG-590 sp900548855	3663255.0
g__CAG-632	2449777.25
s__CAG-632 sp002406015	2608967.0
s__CAG-632 sp900539185	2413963.0
s__CAG-632 sp000431515	2470907.0
g__Anaerostipes	2730996.214285714
s__Anaerostipes hadrus_A	2459729.0
s__Anaerostipes sp900066705	3036595.0
s__Anaerostipes hadrus	2598073.0
t__HRGM_Genome_1892	2638087.0
t__HRGM_Genome_1894	2558059.0
s__Anaerostipes caccae	3257633.0
s__Anaerostipes sp000508985	3276064.0
s__Anaerostipes rhamnosivorans	3481555.0
g__Anaerobutyricum	3155948.958333333
s__Anaerobutyricum hallii	3141405.5
t__HRGM_Genome_1549	3404640.0
t__HRGM_Genome_1547	2990698.0
t__HRGM_Genome_1551	3166904.0
t__HRGM_Genome_1563	3003380.0
s__Anaerobutyricum hallii_A	3073951.8571428573
t__HRGM_Genome_1550	3582563.0
t__HRGM_Genome_1566	3191314.0
t__HRGM_Genome_1560	2522144.0
t__HRGM_Genome_1558	2418637.0
t__HRGM_Genome_1561	3208886.0
t__HRGM_Genome_1546	3326855.0
t__HRGM_Genome_1557	3566773.0
t__HRGM_Genome_1555	3653959.0
t__HRGM_Genome_1564	3127234.0
t__HRGM_Genome_1545	3236083.0
t__HRGM_Genome_1554	3240001.0
t__HRGM_Genome_1562	3532851.0
t__HRGM_Genome_1553	2142016.0
t__HRGM_Genome_1556	2286010.0
s__Anaerobutyricum sp002161065	2842397.0
g__UMGS680	3278188.0
s__UMGS680 sp900544525	3278188.0
g__Coprococcus_A	2870292.5
s__Coprococcus_A catus	2849716.0
s__Coprococcus_A sp900548825	2890869.0
g__Frisingicoccus	2516396.333333333
s__Frisingicoccus caecimuris	2507287.0
s__Frisingicoccus sp900549105	2599046.0
g__UBA7096	3481834.5
s__UBA7096 sp900553975	2508861.0
s__UBA7096 sp900557175	2417693.0
f__UBA1390	2492335.1428571427
g__UBA1390	2185008.6
s__UBA1390 sp002305315	2194259.0
f__Anaerotignaceae	2185572.041666666
g__Anaerotignum	2045267.8181818181
s__Anaerotignum sp001304995	2569277.0
s__Anaerotignum lactatifermentans	2727193.0
s__Anaerotignum sp000436415	1955164.0
t__HRGM_Genome_2773	2531065.0
t__HRGM_Genome_2774	1379263.0
g__UMGS1670	2261080.5
s__UMGS1670 sp900546215	2707566.0
s__UMGS1670 sp900548595	1999709.0
s__UMGS1670 sp900553995	2126341.0
f__CAG-274	1960679.5
g__CAG-274	2182607.0
s__CAG-274 sp000432155	2196853.0
s__CAG-274 sp900545305	2168361.0
g__UMGS1441	1813885.8
s__UMGS1441 sp900543365	1698990.0
s__UMGS1441 sp900551755	2128086.0
f__Cellulosilyticaceae	3777826.0
g__Cellulosilyticum	3736603.0
s__Cellulosilyticum sp900556665	2866181.0
g__Niameybacter	3819049.0
s__Niameybacter sp900551325	4175004.0
s__Niameybacter sp900549765	3463094.0
o__Peptostreptococcales	2409587.356321839
f__Anaerovoracaceae	2192893.9830508474
g__CAG-145	1849477.666666667
s__CAG-145 sp900542295	1965168.0
s__CAG-145 sp000435715	2223395.0
s__CAG-145 sp900542565	2137652.0
s__CAG-145 sp002320005	1661999.0
s__CAG-145 sp900540145	2183705.0
s__CAG-145 sp900545135	2321013.0
g__CAG-238	2291649.8571428573
s__CAG-238 sp900542245	2539589.0
t__HRGM_Genome_2677	2556935.0
t__HRGM_Genome_2676	2522243.0
s__CAG-238 sp900551415	2648761.0
s__CAG-238 sp000435615	2055486.0
g__Mogibacterium	1588328.7
s__Mogibacterium diversum	1422437.5
t__HRGM_Genome_2975	1561857.0
t__HRGM_Genome_2974	1283018.0
s__Mogibacterium timidum	1497968.0
s__Mogibacterium sp002299625	1912636.0
s__Mogibacterium timonense	1598918.5
t__HRGM_Genome_4253	1757446.0
t__HRGM_Genome_4254	1440391.0
s__Mogibacterium sp900315625	1746417.0
s__Mogibacterium massiliense	1225253.0
g__Eubacterium_B	1264423.0
s__Eubacterium_B infirmum	1264423.0
g__Emergencia	3686227.8
s__Emergencia sp900066695	4295701.0
